Timestamp, Tweet-ID, Included(Y/N)
"Fri Apr 26 06:04:30 +0000 2013","327664464306503682",Y
"Fri Apr 26 06:06:20 +0000 2013","327664925705109505",Y
"Fri Apr 26 06:08:13 +0000 2013","327665399644696576",Y
"Fri Apr 26 06:12:04 +0000 2013","327666368516341761",Y
"Fri Apr 26 06:15:08 +0000 2013","327667140293447682",Y
"Fri Apr 26 06:15:55 +0000 2013","327667337417355264",Y
"Fri Apr 26 06:20:55 +0000 2013","327668595691753473",Y
"Fri Apr 26 06:23:39 +0000 2013","327669283582779392",Y
"Fri Apr 26 06:24:12 +0000 2013","327669421969657856",Y
"Fri Apr 26 06:28:11 +0000 2013","327670424429264896",Y
"Fri Apr 26 06:32:49 +0000 2013","327671590428999680",Y
"Fri Apr 26 06:37:39 +0000 2013","327672806793945090",Y
"Fri Apr 26 06:43:18 +0000 2013","327674228637835264",Y
"Fri Apr 26 06:44:01 +0000 2013","327674409009676290",Y
"Fri Apr 26 06:44:48 +0000 2013","327674606141992960",Y
"Fri Apr 26 06:45:19 +0000 2013","327674736177991680",Y
"Fri Apr 26 06:51:04 +0000 2013","327676183221260288",Y
"Fri Apr 26 06:51:33 +0000 2013","327676304830914561",Y
"Fri Apr 26 06:55:21 +0000 2013","327677261136408576",Y
"Fri Apr 26 06:57:01 +0000 2013","327677680566804480",Y
"Fri Apr 26 07:02:46 +0000 2013","327679127593295872",Y
"Fri Apr 26 07:08:52 +0000 2013","327680662733721600",Y
"Fri Apr 26 07:12:20 +0000 2013","327681535132180480",Y
"Fri Apr 26 07:17:35 +0000 2013","327682856337932288",Y
"Fri Apr 26 07:26:48 +0000 2013","327685175804833793",Y
"Fri Apr 26 07:29:32 +0000 2013","327685863666495489",Y
"Fri Apr 26 07:31:10 +0000 2013","327686274704084992",Y
"Fri Apr 26 07:34:30 +0000 2013","327687113543921664",Y
"Fri Apr 26 07:35:35 +0000 2013","327687386182057984",Y
"Fri Apr 26 07:35:46 +0000 2013","327687432327794689",Y
"Fri Apr 26 07:36:53 +0000 2013","327687713354575872",Y
"Fri Apr 26 07:38:36 +0000 2013","327688145363693569",Y
"Fri Apr 26 07:40:09 +0000 2013","327688535433936896",Y
"Fri Apr 26 07:41:06 +0000 2013","327688774496710656",Y
"Fri Apr 26 07:42:19 +0000 2013","327689080697659393",Y
"Fri Apr 26 07:49:36 +0000 2013","327690913612693504",Y
"Fri Apr 26 07:49:42 +0000 2013","327690938757566464",Y
"Fri Apr 26 07:55:16 +0000 2013","327692339655090176",Y
"Fri Apr 26 07:59:47 +0000 2013","327693476324057088",Y
"Fri Apr 26 08:00:13 +0000 2013","327693585354989568",Y
"Fri Apr 26 08:00:51 +0000 2013","327693744763707392",Y
"Fri Apr 26 08:01:46 +0000 2013","327693975446228993",Y
"Fri Apr 26 08:03:08 +0000 2013","327694319370780674",Y
"Fri Apr 26 08:10:47 +0000 2013","327696244543721472",Y
"Fri Apr 26 08:11:14 +0000 2013","327696357815115777",Y
"Fri Apr 26 08:11:36 +0000 2013","327696450073014272",Y
"Fri Apr 26 08:12:29 +0000 2013","327696672387903490",Y
"Fri Apr 26 08:13:01 +0000 2013","327696806593040385",Y
"Fri Apr 26 08:14:50 +0000 2013","327697263776374786",Y
"Fri Apr 26 08:25:56 +0000 2013","327700057199624193",Y
"Fri Apr 26 08:27:18 +0000 2013","327700401094787072",Y
"Fri Apr 26 08:27:37 +0000 2013","327700480820133888",Y
"Fri Apr 26 08:27:37 +0000 2013","327700480820121600",Y
"Fri Apr 26 08:27:58 +0000 2013","327700568875343872",Y
"Fri Apr 26 08:29:42 +0000 2013","327701005078765569",Y
"Fri Apr 26 08:32:20 +0000 2013","327701667803959296",Y
"Fri Apr 26 08:32:37 +0000 2013","327701739107143680",Y
"Fri Apr 26 08:34:54 +0000 2013","327702313697435648",Y
"Fri Apr 26 08:35:18 +0000 2013","327702414390083584",Y
"Fri Apr 26 08:39:27 +0000 2013","327703458767572992",Y
"Fri Apr 26 08:39:39 +0000 2013","327703509078245376",Y
"Fri Apr 26 08:40:50 +0000 2013","327703806886440960",Y
"Fri Apr 26 08:41:38 +0000 2013","327704008225595396",Y
